schemaVersion,recordType,source_name,source_url,collectedAt,entityName,employeeCount
1.0,STARTUP,Wikidata,https://apple.com/dk/,2026-09-10T04:43:58.300900+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ee/,2026-09-10T04:43:58.303285+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/eg-ar/,2026-09-10T04:43:58.305319+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/eg/,2026-09-10T04:43:58.307364+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/es/,2026-09-10T04:43:58.309368+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/fr/,2026-09-10T04:43:58.311324+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ge/,2026-09-10T04:43:58.313151+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/gn/,2026-09-10T04:43:58.315130+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/gq/,2026-09-10T04:43:58.317500+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/gr/,2026-09-10T04:43:58.319630+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/gw/,2026-09-10T04:43:58.321392+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/hk/,2026-09-10T04:43:58.323146+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/hk/en/,2026-09-10T04:43:58.325301+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/hr/,2026-09-10T04:43:58.327234+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/hu/,2026-09-10T04:43:58.329041+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/id/,2026-09-10T04:43:58.330876+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/ie/,2026-09-10T04:43:58.332952+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/il/,2026-09-10T04:43:58.335046+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/in/,2026-09-10T04:43:58.336931+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/it/,2026-09-10T04:43:58.338729+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/jo-ar/,2026-09-10T04:43:58.340544+00:00,Apple Inc.,164000
1.0,STARTUP,Wikidata,https://apple.com/jo/,2026-09-10T04:43:58.342424+00:00,Apple Inc.,164000
